sensor_id,event_time,vehicle_count,avg_speed,congestion_index,traffic_status,hour_of_day
J1_Galle_Road,2026-05-09 00:16:34.193627,54,9,6.0,True,0
J2_Duplication_Road,2026-05-09 00:16:35.251838,68,53,1.28,False,0
J3_Baseline_Road,2026-05-09 00:16:35.255654,75,4,18.75,True,0
J4_Marine_Drive,2026-05-09 00:16:35.256344,41,23,1.78,False,0
J1_Galle_Road,2026-05-09 00:16:37.260094,89,5,17.8,True,0
J2_Duplication_Road,2026-05-09 00:16:37.261012,73,42,1.74,False,0
J3_Baseline_Road,2026-05-09 00:16:37.261329,31,8,3.88,True,0
J4_Marine_Drive,2026-05-09 00:16:37.261512,40,32,1.25,False,0
J1_Galle_Road,2026-05-09 00:16:39.263238,61,25,2.44,False,0
J2_Duplication_Road,2026-05-09 00:16:39.269615,62,18,3.44,False,0
J3_Baseline_Road,2026-05-09 00:16:39.270259,35,49,0.71,False,0
J4_Marine_Drive,2026-05-09 00:16:39.270553,49,37,1.32,False,0
J1_Galle_Road,2026-05-09 00:16:41.273138,71,6,11.83,True,0
J2_Duplication_Road,2026-05-09 00:16:41.273673,70,19,3.68,False,0
J3_Baseline_Road,2026-05-09 00:16:41.274024,50,16,3.12,False,0
J4_Marine_Drive,2026-05-09 00:16:41.274214,21,60,0.35,False,0
J1_Galle_Road,2026-05-09 00:16:43.298693,96,44,2.18,False,0
J2_Duplication_Road,2026-05-09 00:16:43.327712,43,20,2.15,False,0
J3_Baseline_Road,2026-05-09 00:16:43.328441,76,55,1.38,False,0
J4_Marine_Drive,2026-05-09 00:16:43.336988,58,20,2.9,False,0
J1_Galle_Road,2026-05-09 00:16:45.342737,67,18,3.72,False,0
J2_Duplication_Road,2026-05-09 00:16:45.346456,70,45,1.56,False,0
J3_Baseline_Road,2026-05-09 00:16:45.353953,52,23,2.26,False,0
J4_Marine_Drive,2026-05-09 00:16:45.357940,51,59,0.86,False,0
J1_Galle_Road,2026-05-09 00:16:47.361609,76,42,1.81,False,0
J2_Duplication_Road,2026-05-09 00:16:47.362620,36,36,1.0,False,0
J3_Baseline_Road,2026-05-09 00:16:47.363120,60,5,12.0,True,0
J4_Marine_Drive,2026-05-09 00:16:47.363366,36,19,1.89,False,0
J1_Galle_Road,2026-05-09 00:16:49.377006,61,21,2.9,False,0
J2_Duplication_Road,2026-05-09 00:16:49.396695,89,35,2.54,False,0
J3_Baseline_Road,2026-05-09 00:16:49.397391,54,53,1.02,False,0
J4_Marine_Drive,2026-05-09 00:16:49.397799,26,33,0.79,False,0
J1_Galle_Road,2026-05-09 00:16:51.394747,91,8,11.38,True,0
J2_Duplication_Road,2026-05-09 00:16:51.395276,60,59,1.02,False,0
J3_Baseline_Road,2026-05-09 00:16:51.395527,77,23,3.35,False,0
J4_Marine_Drive,2026-05-09 00:16:51.395696,56,31,1.81,False,0
J1_Galle_Road,2026-05-09 00:16:53.398077,99,24,4.12,False,0
J2_Duplication_Road,2026-05-09 00:16:53.398811,31,39,0.79,False,0
J3_Baseline_Road,2026-05-09 00:16:53.399206,44,37,1.19,False,0
J4_Marine_Drive,2026-05-09 00:16:53.399400,31,54,0.57,False,0
J1_Galle_Road,2026-05-09 00:16:55.400187,62,25,2.48,False,0
J2_Duplication_Road,2026-05-09 00:16:55.404417,60,25,2.4,False,0
J3_Baseline_Road,2026-05-09 00:16:55.404995,57,40,1.43,False,0
J4_Marine_Drive,2026-05-09 00:16:55.405274,29,15,1.93,False,0
J1_Galle_Road,2026-05-09 00:16:57.412320,52,34,1.53,False,0
J2_Duplication_Road,2026-05-09 00:16:57.418637,66,17,3.88,False,0
J3_Baseline_Road,2026-05-09 00:16:57.431618,60,55,1.09,False,0
J4_Marine_Drive,2026-05-09 00:16:57.432402,39,50,0.78,False,0
J1_Galle_Road,2026-05-09 00:16:59.437361,87,42,2.07,False,0
J2_Duplication_Road,2026-05-09 00:16:59.455433,38,31,1.23,False,0
J3_Baseline_Road,2026-05-09 00:16:59.462424,19,45,0.42,False,0
J4_Marine_Drive,2026-05-09 00:16:59.463317,61,4,15.25,True,0
J1_Galle_Road,2026-05-09 00:17:01.477861,93,4,23.25,True,0
J2_Duplication_Road,2026-05-09 00:17:01.478847,37,45,0.82,False,0
J3_Baseline_Road,2026-05-09 00:17:01.479336,28,59,0.47,False,0
J4_Marine_Drive,2026-05-09 00:17:01.479600,63,50,1.26,False,0
J1_Galle_Road,2026-05-09 00:17:03.480217,93,42,2.21,False,0
J2_Duplication_Road,2026-05-09 00:17:03.482483,68,5,13.6,True,0
J3_Baseline_Road,2026-05-09 00:17:03.483005,47,40,1.18,False,0
J4_Marine_Drive,2026-05-09 00:17:03.484565,65,4,16.25,True,0
J1_Galle_Road,2026-05-09 00:17:05.487183,67,51,1.31,False,0
J2_Duplication_Road,2026-05-09 00:17:05.487885,68,19,3.58,False,0
J3_Baseline_Road,2026-05-09 00:17:05.488156,55,49,1.12,False,0
J4_Marine_Drive,2026-05-09 00:17:05.488302,32,24,1.33,False,0
J1_Galle_Road,2026-05-09 00:17:07.490848,97,54,1.8,False,0
J2_Duplication_Road,2026-05-09 00:17:07.491815,36,57,0.63,False,0
J3_Baseline_Road,2026-05-09 00:17:07.492277,36,32,1.12,False,0
J4_Marine_Drive,2026-05-09 00:17:07.492582,11,49,0.22,False,0
J1_Galle_Road,2026-05-09 00:17:09.493578,57,48,1.19,False,0
J2_Duplication_Road,2026-05-09 00:17:09.494592,34,21,1.62,False,0
J3_Baseline_Road,2026-05-09 00:17:09.494994,44,19,2.32,False,0
J4_Marine_Drive,2026-05-09 00:17:09.495265,19,53,0.36,False,0
J1_Galle_Road,2026-05-09 00:17:11.496096,73,35,2.09,False,0
J2_Duplication_Road,2026-05-09 00:17:11.497503,82,49,1.67,False,0
J3_Baseline_Road,2026-05-09 00:17:11.498245,20,4,5.0,True,0
J4_Marine_Drive,2026-05-09 00:17:11.498589,14,53,0.26,False,0
J1_Galle_Road,2026-05-09 00:17:13.500110,50,32,1.56,False,0
J2_Duplication_Road,2026-05-09 00:17:13.501655,83,17,4.88,False,0
J3_Baseline_Road,2026-05-09 00:17:13.503339,27,51,0.53,False,0
J4_Marine_Drive,2026-05-09 00:17:13.504944,21,22,0.95,False,0
J1_Galle_Road,2026-05-09 00:17:15.508233,67,41,1.63,False,0
J2_Duplication_Road,2026-05-09 00:17:15.510006,87,36,2.42,False,0
J3_Baseline_Road,2026-05-09 00:17:15.511585,40,24,1.67,False,0
J4_Marine_Drive,2026-05-09 00:17:15.512359,40,8,5.0,True,0
J1_Galle_Road,2026-05-09 00:17:17.514817,61,17,3.59,False,0
J2_Duplication_Road,2026-05-09 00:17:17.517518,68,3,22.67,True,0
J3_Baseline_Road,2026-05-09 00:17:17.518090,56,56,1.0,False,0
J4_Marine_Drive,2026-05-09 00:17:17.518364,12,21,0.57,False,0
J1_Galle_Road,2026-05-09 00:17:19.525394,80,6,13.33,True,0
J2_Duplication_Road,2026-05-09 00:17:19.536143,30,9,3.33,True,0
J3_Baseline_Road,2026-05-09 00:17:19.585728,78,55,1.42,False,0
J4_Marine_Drive,2026-05-09 00:17:19.587313,12,20,0.6,False,0
J1_Galle_Road,2026-05-09 00:17:21.587914,96,53,1.81,False,0
J2_Duplication_Road,2026-05-09 00:17:21.589772,37,46,0.8,False,0
J3_Baseline_Road,2026-05-09 00:17:21.590230,42,23,1.83,False,0
J4_Marine_Drive,2026-05-09 00:17:21.591234,50,46,1.09,False,0
J1_Galle_Road,2026-05-09 00:17:23.593817,66,46,1.43,False,0
J2_Duplication_Road,2026-05-09 00:17:23.595030,64,5,12.8,True,0
J3_Baseline_Road,2026-05-09 00:17:23.595669,67,17,3.94,False,0
J4_Marine_Drive,2026-05-09 00:17:23.599412,13,21,0.62,False,0
J1_Galle_Road,2026-05-09 00:17:25.609666,70,59,1.19,False,0
J2_Duplication_Road,2026-05-09 00:17:25.610867,75,4,18.75,True,0
J3_Baseline_Road,2026-05-09 00:17:25.611257,20,41,0.49,False,0
J4_Marine_Drive,2026-05-09 00:17:25.611603,35,8,4.38,True,0
J1_Galle_Road,2026-05-09 00:17:27.617696,82,39,2.1,False,0
J2_Duplication_Road,2026-05-09 00:17:27.629700,81,3,27.0,True,0
J3_Baseline_Road,2026-05-09 00:17:27.635432,77,37,2.08,False,0
J4_Marine_Drive,2026-05-09 00:17:27.649058,54,55,0.98,False,0
J1_Galle_Road,2026-05-09 00:17:29.673469,94,16,5.88,False,0
J2_Duplication_Road,2026-05-09 00:17:29.674280,60,52,1.15,False,0
J3_Baseline_Road,2026-05-09 00:17:29.674610,58,32,1.81,False,0
J4_Marine_Drive,2026-05-09 00:17:29.674814,63,40,1.57,False,0
J1_Galle_Road,2026-05-09 00:17:31.681582,94,38,2.47,False,0
J2_Duplication_Road,2026-05-09 00:17:31.683622,39,31,1.26,False,0
J3_Baseline_Road,2026-05-09 00:17:31.685565,63,53,1.19,False,0
J4_Marine_Drive,2026-05-09 00:17:31.687064,70,58,1.21,False,0
J1_Galle_Road,2026-05-09 00:17:33.689617,67,30,2.23,False,0
J2_Duplication_Road,2026-05-09 00:17:33.690414,69,51,1.35,False,0
J3_Baseline_Road,2026-05-09 00:17:33.690778,23,25,0.92,False,0
J4_Marine_Drive,2026-05-09 00:17:33.690946,56,46,1.22,False,0
J1_Galle_Road,2026-05-09 00:17:35.693273,53,23,2.3,False,0
J2_Duplication_Road,2026-05-09 00:17:35.693809,42,16,2.62,False,0
J3_Baseline_Road,2026-05-09 00:17:35.694874,50,49,1.02,False,0
J4_Marine_Drive,2026-05-09 00:17:35.695354,39,37,1.05,False,0
J1_Galle_Road,2026-05-09 00:17:37.698001,88,6,14.67,True,0
J2_Duplication_Road,2026-05-09 00:17:37.699355,64,20,3.2,False,0
J3_Baseline_Road,2026-05-09 00:17:37.700920,21,20,1.05,False,0
J4_Marine_Drive,2026-05-09 00:17:37.701320,50,35,1.43,False,0
J1_Galle_Road,2026-05-09 00:17:39.703889,96,22,4.36,False,0
J2_Duplication_Road,2026-05-09 00:17:39.704582,36,16,2.25,False,0
